,TR,CC,LR,GRA,band,word_count,sentence_count,paragraph_count,avg_sentence_len,prompt_overlap,intro_prompt_overlap,body_prompt_overlap,conclusion_prompt_overlap,connective_per_sentence,adjacent_sentence_overlap_mean,lexical_density,type_token_ratio,content_repetition_ratio,academic_word_ratio,simple_sva_error_per_100,run_on_sentence_ratio,flesch_kincaid_grade_proxy,trait_spread,trait_mean
TR,1.0,0.9591578408231258,0.9389087580082531,0.9220084278529601,0.9720566279403327,0.22011020438642198,0.06497255712211199,0.17784756158513365,-0.003810475362503346,0.09327433909673895,0.01896529454749069,0.08337197576275679,0.017511316739928846,-0.008312104543763627,-0.12028312282487681,0.12118892675549092,0.06580732374711475,-0.10713518266796514,0.026909136248072948,-0.02537764219092354,-0.03973897815583439,0.06539984703376292,0.026748185256818272,0.9748834087586036
CC,0.9591578408231258,1.0,0.9408153166362865,0.9290689942290772,0.9740470836410737,0.20892397605203988,0.059418844494838606,0.17707140590853157,-0.0060899465307046735,0.0850755070419539,0.020821617644786163,0.07524485754047011,0.02312728775776871,-0.012603986341773192,-0.1177966443712629,0.13465223958840178,0.07174987909996866,-0.1056126847190726,0.02906959840089156,-0.022418628883023504,-0.0449056850193127,0.06664464868432692,-0.021616504044435193,0.9782341900283223
LR,0.9389087580082531,0.9408153166362865,1.0,0.9719089159431957,0.9794979790274843,0.20908902984329827,0.05955655199372865,0.22666355843358207,-0.004851195543345227,0.08224198643625918,0.06103500622481362,0.04070709275989984,0.040785685770545636,-0.01640861137605019,-0.13094427998234257,0.18348647040323046,0.10797142539166296,-0.11681432997610262,0.03620165105830904,-0.02533030081321833,-0.05211086378660828,0.08692440886090674,0.025382784348035314,0.9840923835437653
GRA,0.9220084278529601,0.9290689942290772,0.9719089159431957,1.0,0.9738644344156544,0.1971441988970516,0.05569412308135705,0.24548610000320414,-0.008211341011719778,0.07745284963286336,0.08715286371000415,0.02018372129020373,0.05665185810135186,-0.01996790190750166,-0.13219566012723255,0.20616892546878324,0.12173352076543077,-0.11545172153401657,0.04076772731100259,-0.0218827750308135,-0.05794114412034204,0.09210614415762665,0.042672115593638524,0.9773000215764107
band,0.9720566279403327,0.9740470836410737,0.9794979790274843,0.9738644344156544,1.0,0.21248374595586642,0.060589044113722706,0.20499042278307866,-0.00624045351790339,0.08544303634955455,0.04682741561774466,0.05536496823157234,0.03436428602510432,-0.01493236031299261,-0.13041710137019474,0.1679334787704004,0.09745212436037506,-0.11644593891073458,0.03395424801388846,-0.022969669409158747,-0.04983438158791962,0.08045722012020697,0.03432780293608401,0.9961440928216536
word_count,0.22011020438642198,0.20892397605203988,0.20908902984329827,0.1971441988970516,0.21248374595586642,1.0,0.4877274403724226,-0.004086138618982361,0.11794029686929869,0.0891471205988508,-0.04126525970602495,0.131557113782196,-0.012714444255109009,0.04355047634871544,-0.04227783943049736,-0.037276418717403066,-0.3352597571958431,0.10976222405198224,-0.039498580565253995,0.0023929521257075176,0.15544832843392797,0.10978316855038904,-0.028225548270129536,0.21307546853933504
sentence_count,0.06497255712211199,0.059418844494838606,0.05955655199372865,0.05569412308135705,0.060589044113722706,0.4877274403724226,1.0,-0.04580944415331307,-0.4643590201101729,0.04936692141675211,-0.07973542354884287,0.12367433557706743,-0.0841458312072553,-0.38716356395441887,-0.12854866711730978,0.07124538752180143,-0.16470257860261797,0.11625225928651567,0.0015234910611024485,-0.0024327254949645517,-0.5035296810193165,-0.42881746045134345,0.0017844504250356008,0.061091494121289135
paragraph_count,0.17784756158513365,0.17707140590853157,0.22666355843358207,0.24548610000320414,0.20499042278307866,-0.004086138618982361,-0.04580944415331307,1.0,0.01602830216007256,0.03359683047577865,0.08458517878317245,0.003923453850345832,-0.02853098264118556,-0.025761459802222404,0.10032967909019602,0.09396716688165821,-0.00541733000163981,0.08230338519327113,0.008575995320351321,-0.007007556628961496,-0.0024126920651228873,0.041220929263056295,-0.08747135489873792,0.21181716040413037
avg_sentence_len,-0.003810475362503346,-0.0060899465307046735,-0.004851195543345227,-0.008211341011719778,-0.00624045351790339,0.11794029686929869,-0.4643590201101729,0.01602830216007256,1.0,-0.02339758322093516,0.0625655256512864,-0.09108209057302954,0.03256004285464684,0.7749931090094141,0.07522078331766804,-0.11415736022920187,-0.10613962562002886,0.029930468691087744,-0.04912914797875489,0.004004803296689268,0.6475986403341892,0.9182933205054903,-0.018877265853583253,-0.005926688511010144
prompt_overlap,0.09327433909673895,0.0850755070419539,0.08224198643625918,0.07745284963286336,0.08544303634955455,0.0891471205988508,0.04936692141675211,0.03359683047577865,-0.02339758322093516,1.0,0.4428803790291534,0.8236705696870795,0.3317520935639983,0.031265559314345596,0.09292149844389379,-0.019297918759004162,-0.18242340538896704,0.18461607518071146,0.029078151419417397,0.009411915211441734,-0.0233149310584424,-0.041727338017936155,0.026946199925061656,0.08615571620533087
intro_prompt_overlap,0.01896529454749069,0.020821617644786163,0.06103500622481362,0.08715286371000415,0.04682741561774466,-0.04126525970602495,-0.07973542354884287,0.08458517878317245,0.0625655256512864,0.4428803790291534,1.0,0.061891450992437605,0.3017087032423069,0.07374003711225223,0.18158884089360247,0.08845036533220534,-0.1129975888979777,0.21887385473145876,0.032683256005525255,0.009198712828569435,0.05688477166284636,0.07478652339247181,0.09644886049322894,0.04860503899431578
body_prompt_overlap,0.08337197576275679,0.07524485754047011,0.04070709275989984,0.02018372129020373,0.05536496823157234,0.131557113782196,0.12367433557706743,0.003923453850345832,-0.09108209057302954,0.8236705696870795,0.061891450992437605,1.0,0.11493327156069313,-0.02898391136249024,0.0939258790380879,-0.06212216784040123,-0.22948974903801017,0.2076648666581589,0.027675631188403715,0.006739383848792883,-0.0750662355132851,-0.12137254174426158,-0.04353009587574207,0.05548586795754142
conclusion_prompt_overlap,0.017511316739928846,0.02312728775776871,0.040785685770545636,0.05665185810135186,0.03436428602510432,-0.012714444255109009,-0.0841458312072553,-0.02853098264118556,0.03256004285464684,0.3317520935639983,0.3017087032423069,0.11493327156069313,1.0,0.06713122268680577,0.1858641052716001,0.08389787442449295,-0.11778591501519572,0.22200846565359336,0.037809521085687685,0.017487631835456912,0.07442903494537002,0.04684605690497029,0.06592101361526119,0.035649581626623836
connective_per_sentence,-0.008312104543763627,-0.012603986341773192,-0.01640861137605019,-0.01996790190750166,-0.01493236031299261,0.04355047634871544,-0.38716356395441887,-0.025761459802222404,0.7749931090094141,0.031265559314345596,0.07374003711225223,-0.02898391136249024,0.06713122268680577,1.0,0.05788839043908819,-0.08390597226293947,-0.07485334168496695,0.04401635749525505,0.015063905949640627,0.0007822049397593531,0.5145967338134535,0.7219051284263189,0.007665640085884664,-0.014767150611109761
adjacent_sentence_overlap_mean,-0.12028312282487681,-0.1177966443712629,-0.13094427998234257,-0.13219566012723255,-0.13041710137019474,-0.04227783943049736,-0.12854866711730978,0.10032967909019602,0.07522078331766804,0.09292149844389379,0.18158884089360247,0.0939258790380879,0.1858641052716001,0.05788839043908819,1.0,-0.0631276665295789,-0.5524143262974864,0.7088829826565783,-0.010166015943158547,0.013177469216536501,0.13339995126053064,-0.00250706081331087,-0.07794067313206267,-0.12810751063681974
lexical_density,0.12118892675549092,0.13465223958840178,0.18348647040323046,0.20616892546878324,0.1679334787704004,-0.037276418717403066,0.07124538752180143,0.09396716688165821,-0.11415736022920187,-0.019297918759004162,0.08845036533220534,-0.06212216784040123,0.08389787442449295,-0.08390597226293947,-0.0631276665295789,1.0,0.49207952067456,-0.04939442545803923,0.267311253778001,-0.024489637798045027,-0.19195223085267457,0.19441457176999974,0.15281912038225634,0.1656928210745209
type_token_ratio,0.06580732374711475,0.07174987909996866,0.10797142539166296,0.12173352076543077,0.09745212436037506,-0.3352597571958431,-0.16470257860261797,-0.00541733000163981,-0.10613962562002886,-0.18242340538896704,-0.1129975888979777,-0.22948974903801017,-0.11778591501519572,-0.07485334168496695,-0.5524143262974864,0.49207952067456,1.0,-0.753414768296318,0.0873050526590797,-0.02782028598597147,-0.14355744750037566,0.08487488478299268,0.13889116383411512,0.09431595701215117
content_repetition_ratio,-0.10713518266796514,-0.1056126847190726,-0.11681432997610262,-0.11545172153401657,-0.11644593891073458,0.10976222405198224,0.11625225928651567,0.08230338519327113,0.029930468691087744,0.18461607518071146,0.21887385473145876,0.2076648666581589,0.22200846565359336,0.04401635749525505,0.7088829826565783,-0.04939442545803923,-0.753414768296318,1.0,-0.0011921064086878725,0.013121778333922625,0.013938175943840517,-0.046805525199038356,-0.07303832908252787,-0.11372436130246989
academic_word_ratio,0.026909136248072948,0.02906959840089156,0.03620165105830904,0.04076772731100259,0.03395424801388846,-0.039498580565253995,0.0015234910611024485,0.008575995320351321,-0.04912914797875489,0.029078151419417397,0.032683256005525255,0.027675631188403715,0.037809521085687685,0.015063905949640627,-0.010166015943158547,0.267311253778001,0.0873050526590797,-0.0011921064086878725,1.0,-0.012540681849457808,-0.07700495069885831,0.09054636981758801,0.03754386523076698,0.034094294814944665
simple_sva_error_per_100,-0.02537764219092354,-0.022418628883023504,-0.02533030081321833,-0.0218827750308135,-0.022969669409158747,0.0023929521257075176,-0.0024327254949645517,-0.007007556628961496,0.004004803296689268,0.009411915211441734,0.009198712828569435,0.006739383848792883,0.017487631835456912,0.0007822049397593531,0.013177469216536501,-0.024489637798045027,-0.02782028598597147,0.013121778333922625,-0.012540681849457808,1.0,0.007712825434073027,-0.009309330100221589,-0.011403026821623686,-0.02421028168275216
run_on_sentence_ratio,-0.03973897815583439,-0.0449056850193127,-0.05211086378660828,-0.05794114412034204,-0.04983438158791962,0.15544832843392797,-0.5035296810193165,-0.0024126920651228873,0.6475986403341892,-0.0233149310584424,0.05688477166284636,-0.0750662355132851,0.07442903494537002,0.5145967338134535,0.13339995126053064,-0.19195223085267457,-0.14355744750037566,0.013938175943840517,-0.07700495069885831,0.007712825434073027,1.0,0.5544087382597084,-0.03244589689536421,-0.04992897190444741
flesch_kincaid_grade_proxy,0.06539984703376292,0.06664464868432692,0.08692440886090674,0.09210614415762665,0.08045722012020697,0.10978316855038904,-0.42881746045134345,0.041220929263056295,0.9182933205054903,-0.041727338017936155,0.07478652339247181,-0.12137254174426158,0.04684605690497029,0.7219051284263189,-0.00250706081331087,0.19441457176999974,0.08487488478299268,-0.046805525199038356,0.09054636981758801,-0.009309330100221589,0.5544087382597084,1.0,0.04690033927630265,0.07968539196042772
trait_spread,0.026748185256818272,-0.021616504044435193,0.025382784348035314,0.042672115593638524,0.03432780293608401,-0.028225548270129536,0.0017844504250356008,-0.08747135489873792,-0.018877265853583253,0.026946199925061656,0.09644886049322894,-0.04353009587574207,0.06592101361526119,0.007665640085884664,-0.07794067313206267,0.15281912038225634,0.13889116383411512,-0.07303832908252787,0.03754386523076698,-0.011403026821623686,-0.03244589689536421,0.04690033927630265,1.0,0.01844773503840323
trait_mean,0.9748834087586036,0.9782341900283223,0.9840923835437653,0.9773000215764107,0.9961440928216536,0.21307546853933504,0.061091494121289135,0.21181716040413037,-0.005926688511010144,0.08615571620533087,0.04860503899431578,0.05548586795754142,0.035649581626623836,-0.014767150611109761,-0.12810751063681974,0.1656928210745209,0.09431595701215117,-0.11372436130246989,0.034094294814944665,-0.02421028168275216,-0.04992897190444741,0.07968539196042772,0.01844773503840323,1.0
